,champions,wins
526,'Caitlyn**Nami',254
527,'DrMundo**Jhin',254
528,'Gragas**Yasuo',254
529,'Alistar**Kaisa',254
530,'Jhin**Soraka',253
531,'MissFortune**Zyra',253
532,'Darius**Morgana',253
533,'Garen**Lucian',253
534,'Yuumi**Zed',253
535,'Ashe**Senna',253
536,'Ezreal**Seraphine',253
537,'Jhin**Swain',253
538,'LeeSin**Viktor',253
539,'Blitzcrank**Sylas',252
540,'Jinx**Talon',252
541,'Mordekaiser**Zed',252
542,'Lux**Xerath',252
543,'Viego**Yuumi',252
544,'Caitlyn**Diana',251
545,'Jax**Yasuo',251
546,'MasterYi**Teemo',251
547,'Blitzcrank**Ekko',251
548,'Ezreal**Trundle',251
549,'Nasus**Yasuo',251
550,'Nami**Vayne',251
551,'Camille**LeeSin',251
552,'Darius**Lucian',251
553,'Garen**Tristana',251
554,'Lucian**Teemo',250
555,'Ashe**Leona',250
556,'Lux**Shen',250
557,'Tristana**Viego',250
558,'Lulu**Sylas',250
559,'Sett**Shaco',250
560,'Darius**Vayne',249
561,'Senna**Viego',249
562,'Vayne**XinZhao',248
563,'Caitlyn**Volibear',248
564,'Camille**MissFortune',248
565,'Kayn**Zed',247
566,'Blitzcrank**Kayn',247
567,'Kayn**Malphite',247
568,'Vayne**Vex',247
569,'Brand**Vayne',247
570,'Jinx**Nocturne',247
571,'Ekko**Tristana',246
572,'Ezreal**Vex',246
573,'Jinx**Mordekaiser',246
574,'Kaisa**Shaco',246
575,'Pyke**Yone',246
576,'Leona**Zed',246
577,'Ashe**Malphite',246
578,'Ezreal**Shen',245
579,'Ahri**Ezreal',245
580,'Sylas**Yasuo',245
581,'MissFortune**Yuumi',245
582,'LeeSin**Teemo',245
583,'Caitlyn**Camille',245
584,'Nautilus**Tristana',245
585,'Jhin**Karma',244
586,'Ezreal**Hecarim',244
587,'Ashe**Xerath',244
588,'Sylas**Yuumi',244
589,'Ezreal**Renekton',244
590,'Kayn**Senna',244
591,'Ezreal**Nunu',244
592,'Lux**Senna',243
593,'Blitzcrank**Sett',243
594,'Samira**Sylas',243
595,'Graves**Samira',243
596,'Kayn**Samira',243
597,'Ashe**Mordekaiser',243
598,'Ezreal**JarvanIV',242
599,'Irelia**Lulu',242
600,'Jinx**XinZhao',242
601,'Akali**Leona',242
602,'Amumu**Ezreal',242
