,Champion,Against,VS. Times,VS. Won,VS. Win Rate
418,Talon,Jayce,600,309,51.5
419,Irelia,Ezreal,580,309,53.275862068965516
420,Jhin,Sett,573,308,53.752181500872595
421,Camille,Fiora,625,308,49.28
422,Lucian,Irelia,598,308,51.50501672240802
423,Graves,Yuumi,640,308,48.125
424,Lux,Jayce,643,307,47.744945567651634
425,Vayne,Thresh,580,307,52.93103448275862
426,Lucian,Ekko,611,307,50.245499181669395
427,Caitlyn,Camille,657,307,46.727549467275495
428,Jayce,Viego,596,307,51.51006711409396
429,Lux,Camille,670,307,45.820895522388064
430,Jhin,Fiora,635,307,48.346456692913385
431,Ezreal,Leona,628,307,48.88535031847134
432,Ezreal,Ekko,604,306,50.66225165562914
433,Ekko,Viego,622,306,49.19614147909968
434,Kaisa,Jhin,618,306,49.51456310679612
435,Viktor,Lulu,638,306,47.96238244514107
436,Yone,Nami,633,306,48.34123222748815
437,Talon,Zed,620,306,49.354838709677416
438,Jayce,Ezreal,618,306,49.51456310679612
439,Lulu,Irelia,561,306,54.54545454545454
440,Talon,Thresh,621,305,49.11433172302738
441,Rakan,Lulu,632,305,48.25949367088608
442,Yasuo,Camille,616,305,49.51298701298701
443,Lulu,Zed,590,305,51.69491525423729
444,Vayne,Lucian,596,305,51.174496644295296
445,Jayce,Yasuo,540,305,56.481481481481474
446,Karma,Lux,607,305,50.24711696869851
447,Karma,Lulu,656,304,46.34146341463415
448,Ekko,Lucian,611,304,49.754500818330605
449,Thresh,Jayce,595,304,51.09243697478991
450,MissFortune,LeeSin,597,304,50.9212730318258
451,Yuumi,Lulu,619,304,49.11147011308562
452,Yasuo,Thresh,616,304,49.35064935064935
453,Zed,Yasuo,575,304,52.8695652173913
454,Graves,Hecarim,567,303,53.43915343915344
455,Ezreal,Sylas,627,303,48.32535885167464
456,Lux,Karma,607,302,49.75288303130148
457,Viego,Nami,634,302,47.63406940063091
458,Jinx,Leona,576,301,52.25694444444444
459,Leblanc,LeeSin,629,301,47.85373608903021
460,Camille,Nami,612,301,49.18300653594771
461,Rakan,Camille,590,300,50.847457627118644
462,Lulu,Jayce,628,299,47.611464968152866
463,Camille,Aphelios,556,299,53.776978417266186
464,Viego,Zed,613,299,48.776508972267536
465,Lucian,Sylas,597,299,50.083752093802346
466,Ekko,Ezreal,604,298,49.337748344370866
467,Sylas,Lucian,597,298,49.916247906197654
468,Karma,LeeSin,614,298,48.534201954397396
469,Yone,Akali,594,297,50.0
470,Irelia,Caitlyn,593,297,50.084317032040474
471,Nami,Caitlyn,617,297,48.13614262560778
472,Aphelios,LeeSin,657,297,45.20547945205479
473,Akali,Yone,594,297,50.0
474,Jhin,Khazix,564,297,52.659574468085104
475,Ekko,Lux,571,296,51.83887915936952
476,Vayne,Viktor,574,296,51.56794425087108
477,Karthus,Jhin,554,296,53.42960288808665
478,Caitlyn,Irelia,593,296,49.915682967959526
479,Thresh,Blitzcrank,583,295,50.60034305317325
480,Talon,Yasuo,577,295,51.12651646447141
481,Yone,Ekko,621,295,47.50402576489533
482,Jhin,Blitzcrank,618,294,47.57281553398058
483,LeeSin,Sylas,637,294,46.15384615384615
484,Yasuo,Lux,611,294,48.117839607201304
485,Rakan,Jinx,638,294,46.08150470219436
486,LeeSin,MissFortune,597,293,49.0787269681742
487,Jayce,Viktor,660,292,44.24242424242424
488,Irelia,Jinx,712,292,41.01123595505618
489,Blitzcrank,Jinx,577,292,50.60658578856152
490,Aphelios,Ezreal,554,291,52.52707581227437
491,Jayce,Thresh,595,291,48.90756302521008
492,Jinx,Vex,579,291,50.259067357512954
493,Lucian,Vayne,596,291,48.8255033557047
494,Jayce,Talon,600,291,48.5
495,Camille,Rakan,590,290,49.152542372881356
496,Camille,Vayne,575,290,50.43478260869565
497,Graves,Xayah,563,290,51.50976909413855
498,Ezreal,Viktor,641,290,45.24180967238689
499,Camille,Sylas,518,290,55.98455598455598
500,Irelia,Talon,579,290,50.086355785837654
501,Irelia,Lucian,598,290,48.49498327759198
502,Leona,Lucian,552,290,52.53623188405797
503,Graves,Karma,572,289,50.52447552447552
504,Graves,Jax,568,289,50.88028169014085
505,Leblanc,Graves,640,289,45.15625
506,Talon,Irelia,579,289,49.91364421416235
507,Talon,Ekko,558,289,51.792114695340494
508,Qiyana,LeeSin,574,289,50.34843205574913
509,Viego,Jayce,596,289,48.48993288590604
510,Viego,Aphelios,534,288,53.93258426966292
511,Vex,Jinx,579,288,49.740932642487046
512,Camille,Irelia,541,288,53.23475046210721
513,Blitzcrank,Thresh,583,288,49.39965694682676
514,Viktor,Lucian,517,287,55.512572533849124
515,Blitzcrank,Ezreal,546,287,52.56410256410257
516,Vayne,Talon,540,287,53.148148148148145
517,Leona,Yone,549,287,52.27686703096539
518,Jhin,Xerath,572,287,50.17482517482518
519,Jinx,Blitzcrank,577,285,49.393414211438476
520,Nami,Thresh,528,285,53.97727272727273
521,Xerath,Jhin,572,285,49.82517482517482
522,Thresh,Viktor,625,285,45.6
523,Lux,Vayne,565,285,50.442477876106196
524,Zed,Lulu,590,285,48.30508474576271
525,Nami,Aphelios,504,285,56.547619047619044
526,Talon,Viktor,566,285,50.35335689045937
527,Vayne,Camille,575,285,49.56521739130435
528,Irelia,Viego,594,285,47.97979797979798
529,Qiyana,Talon,554,285,51.44404332129964
530,LeeSin,Qiyana,574,285,49.65156794425087
531,Viego,Vayne,608,285,46.875
532,Jinx,Qiyana,556,284,51.07913669064749
533,Qiyana,Lucian,516,284,55.03875968992248
534,Camille,Ekko,565,284,50.26548672566372
535,MissFortune,Lulu,566,284,50.17667844522968
536,Karma,Graves,572,283,49.47552447552447
537,Vex,Yone,555,283,50.990990990990994
538,Lucian,Zed,601,283,47.088186356073216
539,Karma,Viego,554,283,51.08303249097473
540,Graves,Nidalee,604,283,46.85430463576159
541,Viego,Sylas,523,283,54.11089866156787
542,Jhin,Hecarim,623,283,45.42536115569823
543,Leblanc,Lucian,536,283,52.79850746268657
544,Talon,Nami,557,282,50.62836624775583
545,Vex,Graves,554,282,50.90252707581227
546,Rakan,Talon,593,282,47.5548060708263
547,Ekko,Caitlyn,537,282,52.513966480446925
548,Lulu,MissFortune,566,282,49.82332155477032
549,Yasuo,Talon,577,282,48.87348353552859
550,Yuumi,Lucian,539,281,52.13358070500927
551,Lulu,Vayne,543,281,51.74953959484346
552,Viego,Rakan,595,281,47.22689075630252
553,Viktor,Talon,566,281,49.64664310954063
554,XinZhao,LeeSin,547,281,51.37111517367459
555,Leblanc,Jinx,549,281,51.183970856102
556,Ekko,Camille,565,281,49.73451327433629
557,Graves,Kindred,531,281,52.91902071563088
558,Jax,Yone,503,280,55.666003976143145
559,Caitlyn,Karma,560,280,50.0
560,Leona,Thresh,547,280,51.18829981718464
561,Karma,Caitlyn,560,280,50.0
562,Ekko,Jinx,605,280,46.28099173553719
563,Ekko,Sylas,545,280,51.37614678899083
564,Vayne,Lux,565,280,49.557522123893804
565,Yuumi,LeeSin,542,280,51.66051660516605
566,Rakan,Leona,513,279,54.385964912280706
567,Jax,Graves,568,279,49.11971830985916
568,TwistedFate,Graves,517,279,53.9651837524178
569,Nami,Rakan,541,278,51.386321626617374
570,Yone,Aphelios,538,278,51.6728624535316
571,Viktor,Vayne,574,278,48.43205574912892
572,Jinx,Akali,502,278,55.37848605577689
573,Graves,Pyke,529,278,52.55198487712666
574,Karma,Yone,513,277,53.99610136452242
575,Ezreal,Xayah,523,277,52.96367112810707
576,Thresh,Sylas,535,277,51.77570093457944
577,Bard,Jhin,550,277,50.36363636363637
578,LeeSin,Vex,535,276,51.58878504672897
579,Caitlyn,Aphelios,499,276,55.31062124248497
580,Qiyana,Yone,527,276,52.371916508538895
